
170315_1243	1	summary	Period	
170315_1243	1	summary	1	
170315_1243	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170315_1243	1	session	1	37.5	0	0	0	0	0	100	10	1	250	0	250	25	375	37.5	37.5	
170315_1243	1	session	2	51	0	0	0	0	0	100	10	0	300	1	260	150	510	51	51	
170315_1243	1	session	3	27	0	0	0	0	0	100	10	1	100	0	300	70	270	27	27	
170315_1243	1	session	4	20	0	0	0	0	0	100	10	0	150	1	50	50	200	20	20	
170315_1243	1	session	5	45	0	0	0	0	0	100	10	1	200	0	260	150	450	45	45	
170315_1243	1	session	6	63	0	0	0	0	0	100	10	0	120	1	500	30	630	63	63	
170315_1243	1	session	7	37	0	0	0	0	0	100	10	0	100	1	250	20	370	37	37	
170315_1243	1	session	8	27	0	0	0	0	0	100	10	0	190	1	100	70	270	27	27	
170315_1243	1	session	9	25	0	0	0	0	0	100	10	1	150	0	250	0	250	25	25	
170315_1243	1	session	10	40	0	0	0	0	0	100	10	1	300	0	500	0	400	40	40	
170315_1243	1	session	11	24	0	0	0	0	0	100	10	0	200	1	50	90	240	24	24	
170315_1243	1	session	12	15	0	0	0	0	0	100	10	0	200	1	50	0	150	15	15	
170315_1243	1	session	13	40	0	0	0	0	0	100	10	0	100	1	300	0	400	40	40	
170315_1243	1	session	14	26	0	0	0	0	0	100	10	0	140	1	50	110	260	26	26	
170315_1243	1	session	15	24.5	0	0	0	0	0	100	10	1	120	0	270	25	245	24.5	24.5	
170315_1243	1	session	16	25	0	0	0	0	0	100	10	1	150	0	50	0	250	25	25	
170315_1243	1	session	17	40	0	0	0	0	0	100	10	1	150	0	60	150	400	40	40	
170315_1243	1	session	18	28.5	0	0	0	0	0	100	10	1	160	0	250	25	285	28.5	28.5	
170315_1243	1	session	19	35	0	0	0	0	0	100	10	1	150	0	500	100	350	35	35	
170315_1243	1	session	20	22	0	0	0	0	0	100	10	1	50	0	60	70	220	22	22	
170315_1243	1	session	21	55	0	0	0	0	0	100	10	0	200	1	300	150	550	55	55	
170315_1243	1	session	22	36	0	0	0	0	0	100	10	1	150	0	300	110	360	36	36	
170315_1243	1	session	23	10	0	0	0	0	0	100	10	1	0	0	250	0	100	10	10	
170315_1243	1	session	24	37	0	0	0	0	0	100	10	1	180	0	500	90	370	37	37	
170315_1243	1	session	25	37	0	0	0	0	0	100	10	0	150	1	250	20	370	37	37	
170315_1243	1	session	26	25	0	0	0	0	0	100	10	1	0	0	60	150	250	25	25	
170315_1243	1	session	27	15	0	0	0	0	0	100	10	0	200	1	50	0	150	15	15	
170315_1243	1	session	28	46	0	0	0	0	0	100	10	0	160	1	250	110	460	46	46	
170315_1243	1	session	29	25	0	0	0	0	0	100	10	0	150	1	60	90	250	25	25	
170315_1243	1	session	30	28	0	0	0	0	0	100	10	1	180	0	300	0	280	28	28	
