X:\Boon\Ldrship-EL\Sessions\S18-170317\170317_0928.xls
170317_0928	1	summary	
170317_0928	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	ShowupFee	DollarConvert	Exp1Paid	PayoffExp1	Exp2Paid	PayoffExp2	RGPayoff	FinalEarningsECU	FinalEarningsAUD	FinalEarnings	
170317_0928	1	session	1	42	0	0	0	42	42	100	10	1	250	0	280	70	420	42	42	
170317_0928	1	session	2	35	0	0	0	35	35	100	10	1	250	0	60	0	350	35	35	
170317_0928	1	session	3	40	0	0	0	40	40	100	10	0	150	1	300	0	400	40	40	
170317_0928	1	session	4	46	0	0	0	46	46	100	10	0	150	1	250	110	460	46	46	
170317_0928	1	session	5	40	0	0	0	40	40	100	10	1	300	0	260	0	400	40	40	
170317_0928	1	session	6	23	0	0	0	23	23	100	10	1	60	0	270	70	230	23	23	
170317_0928	1	session	7	30	0	0	0	30	30	100	10	1	200	0	310	0	300	30	30	
170317_0928	1	session	8	45	0	0	0	45	45	100	10	1	200	0	50	150	450	45	45	
170317_0928	1	session	9	54	0	0	0	54	54	100	10	0	50	1	310	130	540	54	54	
170317_0928	1	session	10	39.5	0	0	0	39.5	39.5	100	10	1	295	0	60	0	395	39.5	39.5	
170317_0928	1	session	11	40	0	0	0	40	40	100	10	0	150	1	300	0	400	40	40	
170317_0928	1	session	12	25	0	0	0	25	25	100	10	0	100	1	60	90	250	25	25	
170317_0928	1	session	13	25	0	0	0	25	25	100	10	1	0	0	260	150	250	25	25	
170317_0928	1	session	14	47	0	0	0	47	47	100	10	0	150	1	270	100	470	47	47	
170317_0928	1	session	15	15	0	0	0	15	15	100	10	0	150	1	50	0	150	15	15	
170317_0928	1	session	16	55	0	0	0	55	55	100	10	0	300	1	300	150	550	55	55	
170317_0928	1	session	17	30	0	0	0	30	30	100	10	0	0	1	50	150	300	30	30	
170317_0928	1	session	18	40	0	0	0	40	40	100	10	0	150	1	300	0	400	40	40	
170317_0928	1	session	19	30	0	0	0	30	30	100	10	1	200	0	260	0	300	30	30	
170317_0928	1	session	20	30.5	0	0	0	30.5	30.5	100	10	1	170	0	50	35	305	30.5	30.5	
170317_0928	1	session	21	34	0	0	0	34	34	100	10	1	240	0	260	0	340	34	34	
170317_0928	1	session	22	40	0	0	0	40	40	100	10	1	300	0	300	0	400	40	40	
170317_0928	1	session	23	30	0	0	0	30	30	100	10	1	100	0	500	100	300	30	30	
170317_0928	1	session	24	38	0	0	0	38	38	100	10	1	150	0	50	130	380	38	38	
170317_0928	1	session	25	76	0	0	0	76	76	100	10	0	0	1	510	150	760	76	76	
170317_0928	1	session	26	38	0	0	0	38	38	100	10	1	150	0	50	130	380	38	38	
170317_0928	1	session	27	16	0	0	0	16	16	100	10	0	130	1	60	0	160	16	16	
170317_0928	1	session	28	38	0	0	0	38	38	100	10	1	150	0	300	130	380	38	38	
170317_0928	1	session	29	20	0	0	0	20	20	100	10	1	100	0	50	0	200	20	20	
170317_0928	1	session	30	25	0	0	0	25	25	100	10	0	150	1	60	90	250	25	25	
