participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.comments_general,player.comments_unclear,player.year_birth,player.female,player.study_field,player.study_lvl,player.gpa,player.nationality,player.other_nationality,player.country_born,player.other_country_born,player.years_lived_australia,player.past_experiments,player.reasons_effort_general,player.effort_fac_leader_payoff,player.effort_fac_member_payoff,player.effort_fac_diff_return,player.effort_fac_zero,player.effort_fac_none,player.reasons_beliefs_general,player.belief_fac_leader_payoff,player.belief_fac_strategy,player.belief_fac_member_payoff,player.belief_fac_diff_return,player.belief_fac_zero,player.belief_fac_none,player.belief_dictator_gave,player.risk_invest,player.risk_keep,player.risk_payoff,player.risk_success,player.droppedoutRG,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,01rowk8a,P2,0,74,74,el_end,B_End,2020-10-07 22:55:32.198189+00:00,1,,,20.5,1,the experiment was straight to the point and easily understood. Investment decisions were somehow really biased to the leader as in both cases he could choose to maximize his profits without caring about team members payments,None,1992,0,Engineering,Graduate student,H2A (75%-79%),Cameroonian,,CM,,1-2 years,4,Maximizing my profits and not considering my team members for the first two rounds  The last rounds I considered the profit of my team members.,1,0,0,0,0,,0,0,0,0,0,0,3,30,20,110,1,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
2,kbl83lpz,P4,0,74,74,el_end,B_End,2020-10-07 22:55:40.664562+00:00,1,,,17.5,2,It was simple and easy to understand.,No,1997,1,Arts/ Social Sciences,3rd-year undergraduate,P (50%-64%),American,,US,,2-5 years,0,,0,0,0,0,0,Low real life losses (none of their own money at stake) theoretical,1,1,0,0,0,0,4,50,0,150,1,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
3,ly8h7tut,P5,0,74,74,el_end,B_End,2020-10-07 22:55:54.764067+00:00,1,,,10,3,well-structured and interesting,perhaps the table can be put up for the stage 2 second part questions,1994,1,Dentistry/ Oral Health,Graduate student,H2A (75%-79%),Australian,,CN,,More than 5 years,3,,0,0,0,0,0,leader's payoffs mainly if considering everyone wants to optimise their payoffs. But perhaps there's a soical element to it where they compare the success and failure payoffs for their members.,1,0,0,0,0,0,4,50,0,150,1,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
4,u83ckprm,P1,0,74,74,el_end,B_End,2020-10-07 22:55:59.620658+00:00,1,,,32.5,4,it really asks us to reflect on how our decision will impact others,nope,1992,0,Engineering,Graduate student,H1 (80%-100%),Indonesian,,ID,,1-2 years,1,average total outcome based on probability,1,0,1,0,0,,0,0,0,0,0,0,2,50,0,150,1,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
5,e4now4nk,P6,0,74,74,el_end,B_End,2020-10-07 22:56:12.085849+00:00,1,,,17.5,5,thought-provoking,the questions at the start were unclear.,1991,1,Other,Graduate student,H2B (70%-74%),Indian,,IN,,2-5 years,2,,0,0,0,0,0,the % of succeeding and failing and how the much the participants will get for each investment decision taken by the leader.,1,1,0,1,0,0,2,25,25,100,1,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
6,mjpar8j3,P3,0,74,74,el_end,B_End,2020-10-07 22:56:53.649246+00:00,1,,,20,6,"Its about decsion making, taking risk and reponsibility",No,1994,0,Engineering,Graduate student,H2A (75%-79%),Yemeni,,YE,,1-2 years,2,,0,0,0,0,0,benefits and risk analysis of the project succeed or fail,0,1,0,0,0,0,4,50,0,150,1,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
7,adguz609,P7,0,74,74,el_end,B_End,2020-10-07 22:58:11.626683+00:00,1,,,17.5,7,I think this experiment what relatively straightforward. It was easy to follow instructions and the tasks were short and simple.,None.,1995,1,Environments,Graduate student,H1 (80%-100%),Malaysian,,PH,,1-2 years,3,"I considered my own payoffs and whether I would still gain even though the investment failed. I also took into consideration payoffs to group members, but I tended to favor my own payoffs.",1,1,1,0,0,,0,0,0,0,0,0,3,25,25,100,1,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
8,apnxdqi9,P8,0,74,74,el_end,B_End,2020-10-07 22:58:19.421955+00:00,1,,,0,8,It took too long to wait for the other participants.,No.,1998,0,Commerce (Economics),3rd-year undergraduate,H1 (80%-100%),Malaysian,,MY,,2-5 years,3,,0,0,0,0,0,I assumed they would be selfish,0,1,0,0,0,0,1,50,0,0,0,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
9,w9gc1dxq,P9,0,74,74,el_end,B_End,2020-10-07 22:58:50.564876+00:00,1,,,5.5,9,This sounds like something that usually happens in our daily life.,No,1993,0,Medicine,Graduate student,H1 (80%-100%),Indonesian,,ID,,1-2 years,6,,0,0,0,0,0,"- Individual's preference to always maximize their profit, i.e. to choose the plan with the most profit to themselves  - Their merit to maximize the organization's profit (make sure that everyone also wins) --> but this might be less likely in this case",1,1,0,0,0,0,3,30,20,110,1,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
10,tr84uffm,P10,0,74,74,el_end,B_End,2020-10-07 22:59:10.447733+00:00,1,,,12.5,10,"It was interesting that in Task 1, as leader I did not really consider the other members of the team that much in making my decisions. However, in Task 2, I actively considered the other partner in making my decision.",The experiment was clear.,1991,0,Engineering,Not a student,H2A (75%-79%),Malaysian,,MY,,More than 5 years,5,The option that provided the highest expected payoff for me as leader.,1,0,0,0,0,,0,0,0,0,0,0,4,50,0,0,0,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
11,g7l3pf12,P12,0,74,74,el_end,B_End,2020-10-07 22:59:49.906663+00:00,1,,,5.5,11,Interesting decision making aspect.,"In task 1, the instructions of if you are not the leader could be more clear.",1997,0,Engineering,Graduate student,H2B (70%-74%),Indian,,IN,,1-2 years,1,,0,0,0,0,0,#NAME?,1,0,0,0,1,0,3,30,20,110,1,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
12,rb6suu11,P13,0,74,74,el_end,B_End,2020-10-07 22:59:51.737124+00:00,1,,,1.25,12,I think it was rather complex but interesting.,"All clear, thank you. I definitely didn't digest the table properly.",1990,1,Science,Graduate student,Not applicable (first semester at University or not a student),British,,GB,,2-5 years,0,,0,0,0,0,0,"Initially it was gut feeling, then I re-read the table (incorrectly!!)",0,0,1,1,0,0,3,25,25,25,0,,0,1,1,9utu797p,201008 Session 1,,,Session 1 NSM,0
